City;Coords1;Coords2;Halte
Surabaya;-72.575;1.127.521;Halte Tunjungan
Sidoarjo;-74.468;1.127.195;Halte Sidoarjo Terminal
Malang;-79.666;1.126.326;Halte Arjosari
Probolinggo;-7.753;113.215;Halte Probolinggo
Jember;-81.724;1.137.008;Halte Universitas Jember
Sumenep;-70.096;1.138.583;Halte Arya Wiraraja
Cilacap;-7.73;109;Halte Bangga Bangun Desa
Banjar;-7.37;105.53;Halte Banjar
Probolinggo;-7.45;113.13;Halte Banyuangga
Bogor;-65.971;106.806;Halte Baranangsiang
Semarang;-6.99;1.104.225;Bawen
Purbalingga;-7.28;109.35;Halte Bobot Sari
Bondowoso;-79.404;1.139.834;Halte Tonkol
Kediri;-78.111;1.120.047;Halte Kediri
Blitar;-8.083;1.123.167;Halte Blitar
Madiun;-761.667;111.65;Halte Madiun
Gresik;-71.666;1.126.413;Halte Gresik
Batu;-78.708;1.125.267;Halte Batu
Mojokerto;-74.906;112.449;Halte Mojokerto
