City;Coords1;Coords2;Halte
Surabaya;-7.2575;112.7521;Halte Tunjungan
Sidoarjo;-7.4468;112.7195;Halte Sidoarjo Terminal
Malang;-7.9666;112.6326;Halte Arjosari
Probolinggo;-7.45;113.13;Halte Banyuangga
Probolinggo;-7.753;113.215;Halte Probolinggo
Jember;-8.1724;113.7008;Halte Universitas Jember
Sumenep;-7.0096;113.8583;Halte Arya Wiraraja
Cilacap;-7.73;109;Halte Bangga Bangun Desa
Banjar;-7.37;105.53;Halte Banjar
Bogor;-6.5971;106.806;Halte Baranangsiang
Semarang;-6.99;110.4225;Bawen
Purbalingga;-7.28;109.35;Halte Bobot Sari
Bondowoso;-7.9404;113.9834;Halte Tonkol
Kediri;-7.8111;112.0047;Halte Kediri
Blitar;-8.083;112.3167;Halte Blitar
Madiun;-7.61667;111.65;Halte Madiun
Gresik;-7.1666;112.6413;Halte Gresik
Batu;-7.8708;112.5267;Halte Batu
Mojokerto;-7.4906;112.449;Halte Mojokerto
